iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
384,CDI2137,2137,01-May-2020,2020,1,Violence against civilians,Attack,Police Forces of the Ivory Coast (2011-),NA,1,Civilians (Ivory Coast),NA,7,17,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Ivoire Times,National,"On 1 May 2020, the police forces beat a young man to death in Williamsville neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan), for violating the counter coronavirus curfew measure.",1,1589234730
384,CDI2138,2138,03-May-2020,2020,1,Riots,Mob violence,Rioters (Ivory Coast),NA,5,Rioters (Burkina Faso),Labour Group (Burkina Faso),5,55,Western Africa,Ivory Coast,Montagnes,Tonkpi,NA,Biankouma,7.737,-7.61,2,AIP (Ivory Coast); News Abidjan; Ivoire Times,National,"On 3 May 2020, locals clashed with Burkinabe individuals in Gbagbeguoine village, Biankouma subdivision (Tonkpi, Montagnes). The clashes started with a dispute between a local and a group of Burkinabe which resulted in the death of the local. In retaliation, locals attacked Burkinabe houses. Several houses and shops were looted and destroyed, and 5 motorcycles burnt. 4 people were reportedly shot and injured. The Gendarmerie forces were deployed to settle the situation. [size=no report]",1,1589234729
384,CDI2139,2139,06-May-2020,2020,1,Violence against civilians,Attack,Police Forces of the Ivory Coast (2011-) Prison Guards,NA,1,Civilians (Ivory Coast),Journalists (Ivory Coast),7,17,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Afrique sur 7; Soir Info; Ivoire Times,National-Regional,"On 6 May 2020, prison guards severely beat up and injured a journalist in MACA prison of Abidjan city (District Autonome D'Abidjan, Abidjan). The journalist was carrying out an investigation about suspected racketeering taking place in the prison.",0,1589234729
384,CDI2140,2140,06-May-2020,2020,1,Protests,Peaceful protest,Protesters (Ivory Coast),UDPCI: Union for Democracy and Peace in Ivory Coast,6,NA,NA,0,60,Western Africa,Ivory Coast,Montagnes,Tonkpi,NA,Man,7.412,-7.554,1,Soir Info,National,"On 6 May 2020, members of the UDPCI party demonstrated and disrupted a meeting of their party in Man town (Tonkpi, Montagnes) which aimed at designating their leader as a presidential candidate. The demonstrators said this was a violation of the decision of the party to support the RHDP (ruling) party's candidate. [size=no report]",0,1589234731
384,CDI2141,2141,07-May-2020,2020,1,Protests,Peaceful protest,Protesters (Ivory Coast),Labour Group (Ivory Coast); Women (Ivory Coast),6,NA,NA,0,60,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Fratmat,National,"On 7 May 2020, a group of female fish traders demonstrated in the Locodjro Attecoube neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan) to demand the payment of funds promised to them by the local authorities in exchange for moving their stalls. [size=no report]",0,1589234730
384,CDI2142,2142,13-May-2020,2020,1,Protests,Peaceful protest,Protesters (Ivory Coast),NA,6,NA,NA,0,60,Western Africa,Ivory Coast,Savanes,Bagoue,NA,Tengrela,10.481,-6.407,1,AIP (Ivory Coast),National,"On 13 May 2020, residents of Dougba 1 village demonstrated in front of the Prefecture office in Tengrela town (Bagoue, Savanes) to demand power supply for their village. [size=no report]",0,1590092906
384,CDI2143,2143,15-May-2020,2020,1,Riots,Mob violence,Rioters (Ivory Coast),NA,5,Police Forces of the Ivory Coast (2011-),NA,1,15,Western Africa,Ivory Coast,Comoe,Sud-Comoe,NA,Aboisso,5.467,-3.2,2,News Abidjan; Connection Ivoirienne,National,"On 15 May 2020, about a hundred residents attacked police officers in Bianouan village, Aboisso subdivision (Sud-Comoe, Comoe) in order to prevent them from arresting a suspected drug dealer. The police officers were severely beaten and forced to flee. [size=about a hundred]",0,1590092906
384,CDI2144,2144,15-May-2020,2020,1,Riots,Mob violence,Rioters (Ivory Coast),Vigilante Group (Ivory Coast),5,Civilians (Ivory Coast),NA,7,57,Western Africa,Ivory Coast,Comoe,Sud-Comoe,NA,Aboisso,5.467,-3.2,1,News Abidjan,National,"On 15 May 2020, residents captured a robber, beat him up and severely injured him before handing him over to the police in Aboisso town (Sud-Comoe, Comoe). [size=no report]",0,1591052479
384,CDI2160,2160,16-May-2020,2020,2,Battles,Armed clash,Military Forces of the Ivory Coast (2011-),Military Forces of Burkina Faso (2015-),1,Katiba Macina,JNIM: Group for Support of Islam and Muslims,2,12,Western Africa,Ivory Coast,Savanes,Tchologo,NA,Tindala,9.551,-4.744,2,Jeune Afrique; Ouest France,Regional,"Around 16 May 2020 (between 12 - 21 May), Burkinabe and Ivorian military forces reportedly clashed with presumed Katiba Macina (JNIM) militants in the area of Tindala (Kong, Tchologo). No casualties reported.",0,1592254855
384,CDI2145,2145,16-May-2020,2020,2,Battles,Armed clash,Military Forces of the Ivory Coast (2011-),Military Forces of Burkina Faso (2015-),1,Katiba Macina,JNIM: Group for Support of Islam and Muslims,2,12,Western Africa,Ivory Coast,Savanes,Tchologo,NA,Tiame,9.617,-4.433,2,Jeune Afrique; Ouest France,Regional,"Around 16 May 2020 (between 12 - 21 May), Burkinabe and Ivorian military forces reportedly clashed with presumed Katiba Macina (JNIM) militants in the area of Diambeh [Tiame] (Kong, Tchologo). No casualties reported.",0,1592254837
